"ecoSpeciesProfilesID"	"ecoSpeciesID"	"lifeZoneID"	"ecoGenusID"	"IUCNL3ID"	"BIOL4ID"	"ecoSpeciesDescription"	"ecoSpeciesBiota"	"ecoSpeciesDistribution"	"ecoSpeciesDistributionRasterName"	"ecoSpeciesDistributionRasterValue"	"RLEStatus"	"RLENotes"	"ecotaxonomicNotes"	"ecoSpeciesProfilesReferenceID"	"ecoSpeciesProfilesReference"	"ecoSpeciesProfilesReferencePage"	"ecoSpeciesProfilesReferenceAuthorID"	"ecoSpeciesProfilesReferenceDate"	"isProtologue"	"ecoSpeciesProfilesReferenceAuthor"
356	20200812161712	"7bed19ab-1acd-489b-96bf-b01843742a45"	"82357250-99b1-4de1-ab12-dd946412583f"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"	"19, 49"	"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
357	20200812163239	"7bed19ab-1acd-489b-96bf-b01843742a45"	"4be9ac23-7c73-48b4-8cf1-f10fb3f15075"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"	"163"	"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
358	20200812170452	"7bed19ab-1acd-489b-96bf-b01843742a45"	"4be9ac23-7c73-48b4-8cf1-f10fb3f15075"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"	"31"	"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
359	20200812171840	"20200422155340"	"292889d7-85be-44d3-8860-05f8e045f945"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"	"159"	"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
360	20200813144327	"d88800cf-d09e-4404-ace8-ed5ff6d1d433"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Hawthorne (2010)"	"10, 31, 39"	"HawthorneWD"	2010-07-31T21:00:00Z	1	"Hawthorne, William D."
361	20200813144354	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Hawthorne (2010)"	"10, 31, 39"	"HawthorneWD"	2010-07-31T21:00:00Z	1	"Hawthorne, William D."
362	20200813145420	"e37c3a64-9cb6-4bb0-aec0-e1125f510c65"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Hawthorne (2010)"	"10, 39"	"HawthorneWD"	2010-07-31T21:00:00Z	1	"Hawthorne, William D."
363	20200813150647	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"												"Hawthorne (2010)"	"10, 39"	"HawthorneWD"	2010-07-31T21:00:00Z	1	"Hawthorne, William D."
364	20200813155212	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"82357250-99b1-4de1-ab12-dd946412583f"												"Hawthorne (2010)"	"10, 38"	"HawthorneWD"	2010-07-31T21:00:00Z	1	"Hawthorne, William D."
365	20200820101059	"20200804085240"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"											"https://doi.org/10.1641/B580507"	"Abell (2008)"	"512"	"AbellRobin"	2008-04-30T21:00:00Z	1	"Abell, Robin"
366	20200904144418	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"96464f7c-f57c-4207-a083-1f8d0261ef45"	"TF1.4"	"BIO-TF3.1.5"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"31"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-09-03T21:00:00Z	1	"Senterre, Bruno"
367	20200907140441	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"96464f7c-f57c-4207-a083-1f8d0261ef45"											"ISBN 978-1-5272-4065-0"	"Cheek (2006)"	"51"	"CheekMartin"	2006-11-30T21:00:00Z	1	"Cheek, Martin"
368	20200909094122	"7bed19ab-1acd-489b-96bf-b01843742a45"	"88e6c144-1096-40ef-8801-830526003564"											"https://doi.org/10.1016/S0367-2530(17)30612-6"	"Porembski (1994)"	"318"	"PorembskiStefan"	1994-03-27T21:00:00Z	1	"Porembski, Stefan"
369	20200909094125	"7bed19ab-1acd-489b-96bf-b01843742a45"	"88e6c144-1096-40ef-8801-830526003564"	"T3.4"	"BIO-T8.3.1"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"53"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-09-08T21:00:00Z	1	"Senterre, Bruno"
370	20200909094435	"7bed19ab-1acd-489b-96bf-b01843742a45"	"628e8351-ae36-480d-bc85-12c094c9d813"											"https://doi.org/10.1016/S0367-2530(17)30612-6"	"Porembski (1994)"	"318"	"PorembskiStefan"	1994-03-27T21:00:00Z	1	"Porembski, Stefan"
371	20200909141820	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"88e6c144-1096-40ef-8801-830526003564"	"T3.4"	"BIO-T8.3.1"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"54"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-09-08T21:00:00Z	1	"Senterre, Bruno"
